tradeId,tickerA,tickerB,sector,entryDate,exitDate,direction,entryPriceA,entryPriceB,beta,olsR2,halfLife,kappa,sigma,theta,ouR2,entryRollingZ,entryOuZ,exitRollingZ,exitOuZ,mlScore,mlGrade,mlProb,holdDays,exitReason,pnlUsd,pnlPct,pnlAfterCost,cost,zReverted,betaDriftAtExit,maxBetaDrift,maxPnlPct,minPnlPct
1,LMT,GD,DEFENSE,2025-05-14,2025-05-23,LONG_A_SHORT_B,437.2347,267.0392,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1292,-1.2078,-0.2699,-0.7955,-3,D,0.25,7,REVERT,28.27,2.827,20.27,8,1,4.91,4.91,2.827,0.414
2,LMT,GD,DEFENSE,2025-06-24,2025-07-22,LONG_A_SHORT_B,451.0473,277.2594,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1999,-1.327,-3.7413,-4.008,-3,D,0.25,19,DIVERGE,-174.33,-17.433,-182.33,8,0,1.2,4.02,-2.191,-17.433
3,LMT,GD,DEFENSE,2025-07-23,2025-07-29,LONG_A_SHORT_B,411.049,314.2692,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-3.3181,-4.678,-1.6031,-4.5408,-2,D,0.2917,4,TRAIL,9.11,0.911,1.11,8,1,0.83,0.95,1.724,0.911
4,LMT,GD,DEFENSE,2025-09-05,2025-09-30,SHORT_A_LONG_B,457.9908,320.1393,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.3356,-3.3426,0.2506,-3.0942,-3,D,0.25,17,REVERT,-17.72,-1.772,-25.72,8,1,1.94,2.71,0.987,-4.799
5,LMT,GD,DEFENSE,2025-10-21,2025-11-17,LONG_A_SHORT_B,483.2647,339.3039,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.9406,-3.4435,-0.0276,-4.0791,-2,D,0.2917,19,REVERT,-41.57,-4.157,-49.57,8,1,-0.44,2.04,0.265,-10.325
6,LMT,GD,DEFENSE,2025-12-09,2025-12-11,SHORT_A_LONG_B,464.4423,332.91,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.0091,-3.7432,1.5902,-3.8215,-3,D,0.25,2,TRAIL,5.31,0.531,-2.69,8,1,1.52,1.52,2.25,0.531
7,LMT,GD,DEFENSE,2025-12-12,2025-12-23,SHORT_A_LONG_B,477.7323,336.1169,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.2584,-3.4691,0.8312,-3.6883,-3,D,0.25,7,TRAIL,14.77,1.477,6.77,8,1,1.75,1.95,2.059,0.117
8,LMT,GD,DEFENSE,2026-01-08,2026-02-09,SHORT_A_LONG_B,515.722,350.0102,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.2159,-2.9521,1.1663,-0.2719,-3,D,0.25,21,OVERTIME,-201.21,-20.121,-209.21,8,1,3.46,4.42,-3.517,-23.757
9,LMT,GD,DEFENSE,2026-03-17,2026-03-20,LONG_A_SHORT_B,636.33,356.29,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.2413,-0.0731,-0.7649,0.1828,-3,D,0.25,3,TRAIL,16.67,1.667,8.67,8,1,5.85,5.87,2.128,1.667
10,LMT,GD,DEFENSE,2026-03-23,2026-04-02,LONG_A_SHORT_B,616.25,347.37,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.2094,-0.1589,-0.4914,-0.0774,-3,D,0.25,8,REVERT,5.47,0.547,-2.53,8,1,5.52,5.52,0.547,-0.9
11,LMT,LHX,DEFENSE,2025-05-13,2025-06-11,LONG_A_SHORT_B,447.6015,214.6922,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.299,-0.8199,-2.3541,-3.4097,-1,D,0.3333,20,STALL,-163.79,-16.379,-171.79,8,0,-9.54,9.54,-3.025,-16.379
12,LMT,LHX,DEFENSE,2025-07-09,2025-07-22,LONG_A_SHORT_B,453.8504,255.9502,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.0402,-4.1718,-3.6206,-6.6114,-1,D,0.3333,9,DIVERGE,-138.07,-13.807,-146.07,8,0,-10.56,10.56,0.747,-13.807
13,LMT,LHX,DEFENSE,2025-07-23,2025-08-07,LONG_A_SHORT_B,411.049,266.374,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,-2.7562,-6.6558,-0.4856,-6.5214,0,D,0.375,11,REVERT,8.19,0.819,0.19,8,1,-10.91,11.34,0.819,-3.501
14,LMT,LHX,DEFENSE,2025-09-04,2025-09-16,SHORT_A_LONG_B,451.0306,269.7234,1.210111,0.6362,26.57,0.026086,0.215105,-0.344791,0.9489,2.3268,-5.346,0.1507,-5.6292,-1,D,0.3333,8,REVERT,17.33,1.733,9.33,8,1,-9.84,9.84,1.733,-1.276
