tradeId,tickerA,tickerB,sector,entryDate,exitDate,direction,entryPriceA,entryPriceB,beta,olsR2,halfLife,kappa,sigma,theta,ouR2,entryRollingZ,entryOuZ,exitRollingZ,exitOuZ,mlScore,mlGrade,mlProb,holdDays,exitReason,pnlUsd,pnlPct,pnlAfterCost,cost,zReverted,betaDriftAtExit,maxBetaDrift,maxPnlPct,minPnlPct,peakPnlDay,zAtDay3,zAtDay5,zAtDay10,zVelocityFirst3d,zVelocityLast3d,pnlAtDay3,pnlAtDay5,pnlAtDay10,betaDriftDay3,betaDriftDay5,betaDriftDay10,hadPositiveWindow,peakToExitDrop,spreadAtEntry,spreadAtExit,spreadChange
1,LMT,GD,DEFENSE,2025-05-14,2025-05-23,LONG_A_SHORT_B,437.2347,267.0392,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1292,-1.2078,-0.2699,-0.7955,-3,D,0.25,7,REVERT,28.27,2.827,20.27,8,1,4.91,4.91,2.827,0.414,7,-1.2381,-0.784,,0.1263,0.1714,1.216,2.006,,4.7,4.82,,0,0.000,0.27300841,0.30045788,0.02744947
2,LMT,GD,DEFENSE,2025-06-24,2025-08-07,LONG_A_SHORT_B,451.0473,277.2594,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.1999,-1.327,-0.4631,-4.0678,-3,D,0.25,31,REVERT,-187.09,-18.709,-195.09,8,1,-1.54,4.02,-2.191,-22.742,1,-2.0823,-1.545,-1.5997,0.1699,0.0879,-3.933,-3.682,-6.941,3.51,3.55,2.86,0,16.518,0.26507303,0.08260701,-0.18246602
3,LMT,GD,DEFENSE,2025-09-05,2025-09-30,SHORT_A_LONG_B,457.9908,320.1393,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.3356,-3.3426,0.2506,-3.0942,-3,D,0.25,17,REVERT,-17.72,-1.772,-25.72,8,1,1.94,2.71,0.987,-4.799,1,2.0727,2.0409,1.4634,-0.1693,0.1958,0.068,-0.538,-1.556,2.1,2.09,2.28,1,2.759,0.13088324,0.14742428,0.01654104
4,LMT,GD,DEFENSE,2025-10-21,2025-11-17,LONG_A_SHORT_B,483.2647,339.3039,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.9406,-3.4435,-0.0276,-4.0791,-2,D,0.2917,19,REVERT,-41.57,-4.157,-49.57,8,1,-0.44,2.04,0.265,-10.325,1,-3.0021,-1.6172,-0.9064,-0.2499,0.3791,-3.911,-2.589,-1.772,0.92,0.73,0.85,1,4.422,0.12416883,0.08185517,-0.04231366
5,LMT,GD,DEFENSE,2025-12-09,2026-01-26,SHORT_A_LONG_B,464.4423,332.91,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.0091,-3.7432,1.0856,-1.8159,-3,D,0.25,31,OVERTIME,-150.19,-15.019,-158.19,8,1,3.87,4.07,2.25,-17.065,1,2.2584,1.5056,0.8312,-0.4451,0.1957,-1.86,-1.177,-0.378,1.7,1.72,1.57,1,17.269,0.10421489,0.23252349,0.12830860
6,LMT,GD,DEFENSE,2026-01-29,2026-02-26,SHORT_A_LONG_B,619.2465,349.95,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,2.4372,-0.2016,0.1205,0.2185,-3,D,0.25,19,REVERT,-28.43,-2.843,-36.43,8,1,3.95,5.78,4.188,-6.555,4,1.4146,0.9476,1.7717,0.2819,0.3301,0.668,2.765,-5.129,4.87,4.42,4.57,1,7.031,0.33999674,0.36796445,0.02796771
7,LMT,GD,DEFENSE,2026-03-17,2026-04-02,LONG_A_SHORT_B,636.33,356.29,1.039386,0.3865,34.28,0.020218,0.212516,0.353415,0.9701,-2.2413,-0.0731,-0.4914,-0.0774,-3,D,0.25,12,REVERT,-0.27,-0.027,-8.27,8,1,5.49,5.87,2.128,-1.412,2,-0.7649,-2.3618,-1.3984,0.0283,0.3023,1.667,-1.176,-1.207,5.85,5.4,5.36,1,2.155,0.34854884,0.34826022,-0.00028862
8,LMT,LHX,DEFENSE,2025-05-13,2025-06-27,LONG_A_SHORT_B,447.6015,214.6922,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.299,-0.8199,-1.0481,-3.362,-1,D,0.3333,31,OVERTIME,-161.16,-16.116,-169.16,8,1,-9.44,9.54,-3.025,-16.655,1,-2.5575,-1.51,-1.8974,0.2806,0.1346,-4.709,-3.422,-12.201,-6.59,-6.43,-8.85,0,13.091,-0.39343361,-0.54424089,-0.15080728
9,LMT,LHX,DEFENSE,2025-07-09,2025-08-07,LONG_A_SHORT_B,453.8504,255.9502,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,-2.0402,-4.1718,-0.4856,-6.5214,-1,D,0.3333,21,REVERT,-138.72,-13.872,-146.72,8,1,-11.56,11.99,0.747,-18.055,3,-1.2557,-1.4143,-2.7562,0.2515,0.1587,0.747,-0.337,-14.359,-8.43,-8.58,-11.09,1,14.619,-0.59227965,-0.731665,-0.13938535
10,LMT,LHX,DEFENSE,2025-09-04,2025-09-16,SHORT_A_LONG_B,451.0306,269.7234,1.210111,0.6362,26.57,0.026086,0.215105,-0.344792,0.9489,2.3268,-5.346,0.1507,-5.6292,-1,D,0.3333,8,REVERT,17.33,1.733,9.33,8,1,-9.84,9.84,1.733,-1.276,8,1.8391,0.8462,,0.2429,0.3278,-0.527,0.898,,-9.49,-9.69,,0,0.000,-0.66193893,-0.6787395,-0.01680057
